[2025-11-26T03:49:32.356+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:49:34.341+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127200.json -> /tmp/minio_downloads/1764127200.json
[2025-11-26T03:49:34.359+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127210.json -> /tmp/minio_downloads/1764127210.json
[2025-11-26T03:49:34.374+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127221.json -> /tmp/minio_downloads/1764127221.json
[2025-11-26T03:49:34.390+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127232.json -> /tmp/minio_downloads/1764127232.json
[2025-11-26T03:49:34.405+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127242.json -> /tmp/minio_downloads/1764127242.json
[2025-11-26T03:49:34.421+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127251.json -> /tmp/minio_downloads/1764127251.json
[2025-11-26T03:49:34.437+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127261.json -> /tmp/minio_downloads/1764127261.json
[2025-11-26T03:49:34.451+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127271.json -> /tmp/minio_downloads/1764127271.json
[2025-11-26T03:49:34.468+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127282.json -> /tmp/minio_downloads/1764127282.json
[2025-11-26T03:49:34.483+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127292.json -> /tmp/minio_downloads/1764127292.json
[2025-11-26T03:49:34.496+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127302.json -> /tmp/minio_downloads/1764127302.json
[2025-11-26T03:49:34.513+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127312.json -> /tmp/minio_downloads/1764127312.json
[2025-11-26T03:49:34.527+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127322.json -> /tmp/minio_downloads/1764127322.json
[2025-11-26T03:49:34.546+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127331.json -> /tmp/minio_downloads/1764127331.json
[2025-11-26T03:49:34.562+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127341.json -> /tmp/minio_downloads/1764127341.json
[2025-11-26T03:49:34.577+0000] {logging_mixin.py:188} INFO - Downloaded MSFT/1764127350.json -> /tmp/minio_downloads/1764127350.json
[2025-11-26T03:49:34.594+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127064.json -> /tmp/minio_downloads/1764127064.json
[2025-11-26T03:49:34.611+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127074.json -> /tmp/minio_downloads/1764127074.json
[2025-11-26T03:49:34.629+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127085.json -> /tmp/minio_downloads/1764127085.json
[2025-11-26T03:49:34.645+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127094.json -> /tmp/minio_downloads/1764127094.json
[2025-11-26T03:49:34.659+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127104.json -> /tmp/minio_downloads/1764127104.json
[2025-11-26T03:49:34.677+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127113.json -> /tmp/minio_downloads/1764127113.json
[2025-11-26T03:49:34.692+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127124.json -> /tmp/minio_downloads/1764127124.json
[2025-11-26T03:49:34.706+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127133.json -> /tmp/minio_downloads/1764127133.json
[2025-11-26T03:49:34.721+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127143.json -> /tmp/minio_downloads/1764127143.json
[2025-11-26T03:49:34.734+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127154.json -> /tmp/minio_downloads/1764127154.json
[2025-11-26T03:49:34.749+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127163.json -> /tmp/minio_downloads/1764127163.json
[2025-11-26T03:49:34.764+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127173.json -> /tmp/minio_downloads/1764127173.json
[2025-11-26T03:49:34.779+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127183.json -> /tmp/minio_downloads/1764127183.json
[2025-11-26T03:49:34.794+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127193.json -> /tmp/minio_downloads/1764127193.json
[2025-11-26T03:49:34.812+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127203.json -> /tmp/minio_downloads/1764127203.json
[2025-11-26T03:49:34.829+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127213.json -> /tmp/minio_downloads/1764127213.json
[2025-11-26T03:49:34.845+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127224.json -> /tmp/minio_downloads/1764127224.json
[2025-11-26T03:49:34.862+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127234.json -> /tmp/minio_downloads/1764127234.json
[2025-11-26T03:49:34.879+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127244.json -> /tmp/minio_downloads/1764127244.json
[2025-11-26T03:49:34.895+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127254.json -> /tmp/minio_downloads/1764127254.json
[2025-11-26T03:49:34.911+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127263.json -> /tmp/minio_downloads/1764127263.json
[2025-11-26T03:49:34.928+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127274.json -> /tmp/minio_downloads/1764127274.json
[2025-11-26T03:49:34.945+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127284.json -> /tmp/minio_downloads/1764127284.json
[2025-11-26T03:49:34.958+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127294.json -> /tmp/minio_downloads/1764127294.json
[2025-11-26T03:49:34.972+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127305.json -> /tmp/minio_downloads/1764127305.json
[2025-11-26T03:49:34.985+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127314.json -> /tmp/minio_downloads/1764127314.json
[2025-11-26T03:49:34.995+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127324.json -> /tmp/minio_downloads/1764127324.json
[2025-11-26T03:49:35.010+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127333.json -> /tmp/minio_downloads/1764127333.json
[2025-11-26T03:49:35.024+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127343.json -> /tmp/minio_downloads/1764127343.json
[2025-11-26T03:49:35.038+0000] {logging_mixin.py:188} INFO - Downloaded TSLA/1764127353.json -> /tmp/minio_downloads/1764127353.json
